ocel:eid,ocel:oid,ocel:type,ocel:qualifier
e_000000025,po_000003,purchase_order,primary
e_000000025,supplier_026,supplier,reference
e_000000026,po_000003,purchase_order,reference
e_000000026,po_000003_gr_1,goods_receipt,primary
e_000000026,po_000003_item_1,item,item
e_000000026,po_000003_item_2,item,item
e_000000027,po_000003,purchase_order,reference
e_000000027,po_000003_gr_1,goods_receipt,primary
e_000000028,po_000003,purchase_order,reference
e_000000028,po_000003_gr_2,goods_receipt,primary
e_000000028,po_000003_item_1,item,item
e_000000028,po_000003_item_2,item,item
e_000000028,po_000003_item_3,item,item
e_000000028,po_000003_item_4,item,item
e_000000028,po_000003_item_5,item,item
e_000000029,po_000003,purchase_order,reference
e_000000029,po_000003_gr_2,goods_receipt,primary
e_000000030,po_000003,purchase_order,reference
e_000000030,po_000003_inv_1,invoice,primary
e_000000030,supplier_026,supplier,reference
e_000000031,po_000003,purchase_order,reference
e_000000031,po_000003_inv_1,invoice,primary
e_000000032,po_000003,purchase_order,reference
e_000000032,po_000003_inv_1,invoice,primary
e_000000033,po_000003,purchase_order,reference
e_000000033,po_000003_inv_1,invoice,primary
e_000000034,po_000004,purchase_order,primary
e_000000034,supplier_024,supplier,reference
e_000000034,cc_007,cost_center,reference
e_000000035,po_000004,purchase_order,primary
e_000000035,cc_007,cost_center,reference
e_000000036,po_000004,purchase_order,primary
e_000000036,supplier_024,supplier,reference
e_000000037,po_000004,purchase_order,reference
e_000000037,po_000004_gr_1,goods_receipt,primary
e_000000037,po_000004_item_1,item,item
e_000000037,po_000004_item_2,item,item
e_000000037,po_000004_item_3,item,item
e_000000037,po_000004_item_4,item,item
e_000000038,po_000004,purchase_order,reference
e_000000038,po_000004_gr_1,goods_receipt,primary
e_000000039,po_000004,purchase_order,reference
e_000000039,po_000004_inv_1,invoice,primary
e_000000039,supplier_024,supplier,reference
e_000000040,po_000004,purchase_order,reference
e_000000040,po_000004_inv_1,invoice,primary
e_000000041,po_000004,purchase_order,reference
e_000000041,po_000004_inv_1,invoice,primary
e_000000041,supplier_024,supplier,reference
e_000000042,po_000004,purchase_order,reference
e_000000042,po_000004_inv_1,invoice,primary
e_000000043,po_000004,purchase_order,reference
e_000000043,po_000004_inv_1,invoice,primary
e_000000044,po_000004,purchase_order,reference
e_000000044,po_000004_inv_1,invoice,primary
e_000000045,po_000005,purchase_order,primary
e_000000045,supplier_027,supplier,reference
e_000000045,cc_016,cost_center,reference
e_000000046,po_000005,purchase_order,primary
e_000000046,cc_016,cost_center,reference
e_000000047,po_000005,purchase_order,primary
e_000000047,supplier_027,supplier,reference
e_000000048,po_000005,purchase_order,reference
e_000000048,po_000005_gr_1,goods_receipt,primary
e_000000048,po_000005_item_1,item,item
e_000000048,po_000005_item_2,item,item
e_000000048,po_000005_item_3,item,item
e_000000049,po_000005,purchase_order,reference
e_000000049,po_000005_gr_1,goods_receipt,primary
e_000000050,po_000005,purchase_order,reference
e_000000050,po_000005_inv_1,invoice,primary
e_000000050,supplier_027,supplier,reference
e_000000051,po_000005,purchase_order,reference
e_000000051,po_000005_inv_1,invoice,primary
e_000000052,po_000005,purchase_order,reference
e_000000052,po_000005_inv_1,invoice,primary
e_000000053,po_000005,purchase_order,reference
e_000000053,po_000005_inv_1,invoice,primary
e_000000054,po_000006,purchase_order,primary
e_000000054,supplier_035,supplier,reference
e_000000054,cc_015,cost_center,reference
e_000000055,po_000006,purchase_order,primary
e_000000055,cc_015,cost_center,reference
e_000000056,po_000006,purchase_order,primary
e_000000056,supplier_035,supplier,reference
e_000000057,po_000006,purchase_order,reference
e_000000057,po_000006_gr_1,goods_receipt,primary
e_000000057,po_000006_item_1,item,item
e_000000057,po_000006_item_2,item,item
e_000000057,po_000006_item_3,item,item
e_000000057,po_000006_item_4,item,item
e_000000057,po_000006_item_5,item,item
e_000000058,po_000006,purchase_order,reference
e_000000058,po_000006_gr_1,goods_receipt,primary
e_000000059,po_000006,purchase_order,reference
e_000000059,po_000006_inv_1,invoice,primary
e_000000059,supplier_035,supplier,reference
e_000000060,po_000006,purchase_order,reference
e_000000060,po_000006_inv_1,invoice,primary
e_000000061,po_000006,purchase_order,reference
e_000000061,po_000006_inv_1,invoice,primary
e_000000061,supplier_035,supplier,reference
e_000000062,po_000006,purchase_order,reference
e_000000062,po_000006_inv_1,invoice,primary
e_000000063,po_000006,purchase_order,reference
e_000000063,po_000006_inv_1,invoice,primary
e_000000064,po_000006,purchase_order,reference
e_000000064,po_000006_inv_1,invoice,primary
e_000000065,po_000007,purchase_order,primary
e_000000065,supplier_045,supplier,reference
e_000000065,cc_018,cost_center,reference
e_000000066,po_000007,purchase_order,primary
e_000000066,cc_018,cost_center,reference
e_000000067,po_000007,purchase_order,primary
e_000000067,supplier_045,supplier,reference
e_000000068,po_000007,purchase_order,reference
e_000000068,po_000007_gr_1,goods_receipt,primary
e_000000068,po_000007_item_1,item,item
e_000000069,po_000007,purchase_order,reference
e_000000069,po_000007_gr_1,goods_receipt,primary
e_000000070,po_000007,purchase_order,reference
e_000000070,po_000007_gr_2,goods_receipt,primary
e_000000070,po_000007_item_1,item,item
e_000000070,po_000007_item_2,item,item
e_000000070,po_000007_item_3,item,item
e_000000071,po_000007,purchase_order,reference
e_000000071,po_000007_gr_2,goods_receipt,primary
e_000000072,po_000007,purchase_order,reference
e_000000072,po_000007_inv_1,invoice,primary
e_000000072,supplier_045,supplier,reference
e_000000073,po_000007,purchase_order,reference
e_000000073,po_000007_inv_1,invoice,primary
e_000000074,po_000007,purchase_order,reference
e_000000074,po_000007_inv_1,invoice,primary
e_000000075,po_000007,purchase_order,reference
e_000000075,po_000007_inv_1,invoice,primary
e_000000076,po_000008,purchase_order,primary
e_000000076,supplier_020,supplier,reference
e_000000076,cc_011,cost_center,reference
e_000000077,po_000008,purchase_order,primary
e_000000077,cc_011,cost_center,reference
e_000000078,po_000008,purchase_order,primary
e_000000078,supplier_020,supplier,reference
e_000000079,po_000008,purchase_order,primary
e_000000079,cc_011,cost_center,reference
e_000000080,po_000008,purchase_order,primary
e_000000080,supplier_020,supplier,reference
e_000000081,po_000008,purchase_order,reference
e_000000081,po_000008_gr_1,goods_receipt,primary
e_000000081,po_000008_item_1,item,item
e_000000081,po_000008_item_2,item,item
e_000000081,po_000008_item_3,item,item
e_000000082,po_000008,purchase_order,reference
e_000000082,po_000008_gr_1,goods_receipt,primary
e_000000083,po_000008,purchase_order,reference
e_000000083,po_000008_inv_1,invoice,primary
e_000000083,supplier_020,supplier,reference
e_000000084,po_000008,purchase_order,reference
e_000000084,po_000008_inv_1,invoice,primary
e_000000085,po_000008,purchase_order,reference
e_000000085,po_000008_inv_1,invoice,primary
e_000000086,po_000008,purchase_order,reference
e_000000086,po_000008_inv_1,invoice,primary
e_000000087,po_000009,purchase_order,primary
e_000000087,supplier_009,supplier,reference
e_000000087,cc_015,cost_center,reference
e_000000088,po_000009,purchase_order,primary
e_000000088,cc_015,cost_center,reference
e_000000089,po_000009,purchase_order,primary
e_000000089,supplier_009,supplier,reference
e_000000090,po_000009,purchase_order,reference
e_000000090,po_000009_gr_1,goods_receipt,primary
e_000000090,po_000009_item_1,item,item
e_000000091,po_000009,purchase_order,reference
e_000000091,po_000009_gr_1,goods_receipt,primary
e_000000092,po_000009,purchase_order,reference
e_000000092,po_000009_inv_1,invoice,primary
e_000000092,supplier_009,supplier,reference
e_000000093,po_000009,purchase_order,reference
e_000000093,po_000009_inv_1,invoice,primary
e_000000094,po_000009,purchase_order,reference
e_000000094,po_000009_inv_1,invoice,primary
e_000000095,po_000009,purchase_order,reference
e_000000095,po_000009_inv_1,invoice,primary
e_000000096,po_000010,purchase_order,primary
e_000000096,supplier_004,supplier,reference
e_000000096,cc_004,cost_center,reference
e_000000097,po_000010,purchase_order,primary
e_000000097,cc_004,cost_center,reference
e_000000098,po_000010,purchase_order,primary
e_000000098,supplier_004,supplier,reference
e_000000099,po_000010,purchase_order,reference
e_000000099,po_000010_gr_1,goods_receipt,primary
e_000000099,po_000010_item_1,item,item
e_000000099,po_000010_item_2,item,item
e_000000100,po_000010,purchase_order,reference
e_000000100,po_000010_gr_1,goods_receipt,primary
e_000000101,po_000010,purchase_order,reference
e_000000101,po_000010_inv_1,invoice,primary
e_000000101,supplier_004,supplier,reference
e_000000102,po_000010,purchase_order,reference
e_000000102,po_000010_inv_1,invoice,primary
e_000000103,po_000010,purchase_order,reference
e_000000103,po_000010_inv_1,invoice,primary
e_000000104,po_000010,purchase_order,reference
e_000000104,po_000010_inv_1,invoice,primary
e_000000105,po_000011,purchase_order,primary
e_000000105,supplier_010,supplier,reference
e_000000105,cc_006,cost_center,reference
e_000000106,po_000011,purchase_order,primary
e_000000106,cc_006,cost_center,reference
e_000000107,po_000011,purchase_order,primary
e_000000107,supplier_010,supplier,reference
e_000000108,po_000011,purchase_order,primary
e_000000108,cc_006,cost_center,reference
e_000000109,po_000011,purchase_order,primary
e_000000109,supplier_010,supplier,reference
e_000000110,po_000011,purchase_order,reference
e_000000110,po_000011_gr_1,goods_receipt,primary
e_000000110,po_000011_item_1,item,item
e_000000110,po_000011_item_2,item,item
e_000000110,po_000011_item_3,item,item
e_000000110,po_000011_item_4,item,item
e_000000110,po_000011_item_5,item,item
e_000000111,po_000011,purchase_order,reference
e_000000111,po_000011_gr_1,goods_receipt,primary
e_000000112,po_000011,purchase_order,reference
e_000000112,po_000011_inv_1,invoice,primary
e_000000112,supplier_010,supplier,reference
e_000000113,po_000011,purchase_order,reference
e_000000113,po_000011_inv_1,invoice,primary
e_000000114,po_000011,purchase_order,reference
e_000000114,po_000011_inv_1,invoice,primary
e_000000115,po_000011,purchase_order,reference
e_000000115,po_000011_inv_1,invoice,primary
e_000000116,po_000012,purchase_order,primary
e_000000116,supplier_030,supplier,reference
e_000000116,cc_011,cost_center,reference
e_000000117,po_000012,purchase_order,primary
e_000000117,cc_011,cost_center,reference
e_000000118,po_000012,purchase_order,primary
e_000000118,supplier_030,supplier,reference
e_000000119,po_000012,purchase_order,reference
e_000000119,po_000012_gr_1,goods_receipt,primary
e_000000119,po_000012_item_1,item,item
e_000000120,po_000012,purchase_order,reference
e_000000120,po_000012_gr_1,goods_receipt,primary
e_000000121,po_000012,purchase_order,reference
e_000000121,po_000012_inv_1,invoice,primary
e_000000121,supplier_030,supplier,reference
e_000000122,po_000012,purchase_order,reference
e_000000122,po_000012_inv_1,invoice,primary
e_000000123,po_000012,purchase_order,reference
e_000000123,po_000012_inv_1,invoice,primary
e_000000124,po_000012,purchase_order,reference
e_000000124,po_000012_inv_1,invoice,primary
e_000000125,po_000013,purchase_order,primary
e_000000125,supplier_047,supplier,reference
e_000000125,cc_001,cost_center,reference
e_000000126,po_000013,purchase_order,primary
e_000000126,cc_001,cost_center,reference
e_000000127,po_000013,purchase_order,primary
e_000000127,supplier_047,supplier,reference
e_000000128,po_000013,purchase_order,reference
e_000000128,po_000013_gr_1,goods_receipt,primary
e_000000128,po_000013_item_1,item,item
e_000000128,po_000013_item_2,item,item
e_000000129,po_000013,purchase_order,reference
e_000000129,po_000013_gr_1,goods_receipt,primary
e_000000130,po_000013,purchase_order,reference
e_000000130,po_000013_gr_2,goods_receipt,primary
e_000000130,po_000013_item_1,item,item
e_000000130,po_000013_item_2,item,item
e_000000130,po_000013_item_3,item,item
e_000000130,po_000013_item_4,item,item
e_000000130,po_000013_item_5,item,item
e_000000131,po_000013,purchase_order,reference
e_000000131,po_000013_gr_2,goods_receipt,primary
e_000000132,po_000013,purchase_order,reference
e_000000132,po_000013_inv_1,invoice,primary
e_000000132,supplier_047,supplier,reference
e_000000133,po_000013,purchase_order,reference
e_000000133,po_000013_inv_1,invoice,primary
e_000000134,po_000013,purchase_order,reference
e_000000134,po_000013_inv_1,invoice,primary
e_000000135,po_000013,purchase_order,reference
e_000000135,po_000013_inv_1,invoice,primary
e_000000136,po_000014,purchase_order,primary
e_000000136,supplier_030,supplier,reference
e_000000136,cc_003,cost_center,reference
e_000000137,po_000014,purchase_order,primary
e_000000137,cc_003,cost_center,reference
e_000000138,po_000014,purchase_order,primary
e_000000138,supplier_030,supplier,reference
e_000000139,po_000014,purchase_order,reference
e_000000139,po_000014_gr_1,goods_receipt,primary
e_000000139,po_000014_item_1,item,item
e_000000139,po_000014_item_2,item,item
e_000000140,po_000014,purchase_order,reference
e_000000140,po_000014_gr_1,goods_receipt,primary
e_000000141,po_000014,purchase_order,reference
e_000000141,po_000014_gr_2,goods_receipt,primary
e_000000141,po_000014_item_1,item,item
e_000000141,po_000014_item_2,item,item
e_000000141,po_000014_item_3,item,item
e_000000141,po_000014_item_4,item,item
e_000000142,po_000014,purchase_order,reference
e_000000142,po_000014_gr_2,goods_receipt,primary
e_000000143,po_000014,purchase_order,reference
e_000000143,po_000014_inv_1,invoice,primary
e_000000143,supplier_030,supplier,reference
e_000000144,po_000014,purchase_order,reference
e_000000144,po_000014_inv_1,invoice,primary
e_000000145,po_000014,purchase_order,reference
e_000000145,po_000014_inv_1,invoice,primary
e_000000146,po_000014,purchase_order,reference
e_000000146,po_000014_inv_1,invoice,primary
e_000000147,po_000015,purchase_order,primary
e_000000147,supplier_004,supplier,reference
e_000000147,cc_008,cost_center,reference
e_000000148,po_000015,purchase_order,primary
e_000000148,cc_008,cost_center,reference
e_000000149,po_000015,purchase_order,primary
e_000000149,supplier_004,supplier,reference
e_000000150,po_000015,purchase_order,primary
e_000000150,cc_008,cost_center,reference
e_000000151,po_000015,purchase_order,primary
e_000000151,supplier_004,supplier,reference
e_000000152,po_000015,purchase_order,reference
e_000000152,po_000015_gr_1,goods_receipt,primary
e_000000152,po_000015_item_1,item,item
e_000000152,po_000015_item_2,item,item
e_000000153,po_000015,purchase_order,reference
e_000000153,po_000015_gr_1,goods_receipt,primary
e_000000154,po_000015,purchase_order,reference
e_000000154,po_000015_inv_1,invoice,primary
e_000000154,supplier_004,supplier,reference
e_000000155,po_000015,purchase_order,reference
e_000000155,po_000015_inv_1,invoice,primary
e_000000156,po_000015,purchase_order,reference
e_000000156,po_000015_inv_1,invoice,primary
e_000000157,po_000015,purchase_order,reference
e_000000157,po_000015_inv_1,invoice,primary
e_000000158,po_000016,purchase_order,primary
e_000000158,supplier_013,supplier,reference
e_000000158,cc_004,cost_center,reference
e_000000159,po_000016,purchase_order,primary
e_000000159,cc_004,cost_center,reference
e_000000160,po_000016,purchase_order,primary
e_000000160,supplier_013,supplier,reference
e_000000161,po_000016,purchase_order,reference
e_000000161,po_000016_gr_1,goods_receipt,primary
e_000000161,po_000016_item_1,item,item
e_000000161,po_000016_item_2,item,item
e_000000162,po_000016,purchase_order,reference
e_000000162,po_000016_gr_1,goods_receipt,primary
e_000000163,po_000016,purchase_order,reference
e_000000163,po_000016_inv_1,invoice,primary
e_000000163,supplier_013,supplier,reference
e_000000164,po_000016,purchase_order,reference
e_000000164,po_000016_inv_1,invoice,primary
e_000000165,po_000016,purchase_order,reference
e_000000165,po_000016_inv_1,invoice,primary
e_000000166,po_000016,purchase_order,reference
e_000000166,po_000016_inv_1,invoice,primary
e_000000167,po_000017,purchase_order,primary
e_000000167,supplier_025,supplier,reference
e_000000167,cc_007,cost_center,reference
e_000000168,po_000017,purchase_order,primary
e_000000168,cc_007,cost_center,reference
e_000000169,po_000017,purchase_order,primary
e_000000169,supplier_025,supplier,reference
e_000000170,po_000017,purchase_order,reference
e_000000170,po_000017_gr_1,goods_receipt,primary
e_000000170,po_000017_item_1,item,item
e_000000170,po_000017_item_2,item,item
e_000000171,po_000017,purchase_order,reference
e_000000171,po_000017_gr_1,goods_receipt,primary
e_000000172,po_000017,purchase_order,reference
e_000000172,po_000017_inv_1,invoice,primary
e_000000172,supplier_025,supplier,reference
e_000000173,po_000017,purchase_order,reference
e_000000173,po_000017_inv_1,invoice,primary
e_000000174,po_000017,purchase_order,reference
e_000000174,po_000017_inv_1,invoice,primary
e_000000175,po_000017,purchase_order,reference
e_000000175,po_000017_inv_1,invoice,primary
e_000000176,po_000018,purchase_order,primary
e_000000176,supplier_030,supplier,reference
e_000000176,cc_011,cost_center,reference
e_000000177,po_000018,purchase_order,primary
e_000000177,cc_011,cost_center,reference
e_000000178,po_000018,purchase_order,primary
e_000000178,supplier_030,supplier,reference
e_000000179,po_000018,purchase_order,reference
e_000000179,po_000018_gr_1,goods_receipt,primary
e_000000179,po_000018_item_1,item,item
e_000000179,po_000018_item_2,item,item
e_000000179,po_000018_item_3,item,item
e_000000179,po_000018_item_4,item,item
e_000000179,po_000018_item_5,item,item
e_000000180,po_000018,purchase_order,reference
e_000000180,po_000018_gr_1,goods_receipt,primary
e_000000181,po_000018,purchase_order,reference
e_000000181,po_000018_inv_1,invoice,primary
e_000000181,supplier_030,supplier,reference
e_000000182,po_000018,purchase_order,reference
e_000000182,po_000018_inv_1,invoice,primary
e_000000183,po_000018,purchase_order,reference
e_000000183,po_000018_inv_1,invoice,primary
e_000000183,supplier_030,supplier,reference
e_000000184,po_000018,purchase_order,reference
e_000000184,po_000018_inv_1,invoice,primary
e_000000185,po_000018,purchase_order,reference
e_000000185,po_000018_inv_1,invoice,primary
e_000000186,po_000018,purchase_order,reference
e_000000186,po_000018_inv_1,invoice,primary
e_000000187,po_000019,purchase_order,primary
e_000000187,supplier_043,supplier,reference
e_000000187,cc_006,cost_center,reference
e_000000188,po_000019,purchase_order,primary
e_000000188,cc_006,cost_center,reference
e_000000189,po_000019,purchase_order,primary
e_000000189,supplier_043,supplier,reference
e_000000190,po_000019,purchase_order,reference
e_000000190,po_000019_gr_1,goods_receipt,primary
e_000000190,po_000019_item_1,item,item
e_000000190,po_000019_item_2,item,item
e_000000190,po_000019_item_3,item,item
e_000000191,po_000019,purchase_order,reference
e_000000191,po_000019_gr_1,goods_receipt,primary
e_000000192,po_000019,purchase_order,reference
e_000000192,po_000019_inv_1,invoice,primary
e_000000192,supplier_043,supplier,reference
e_000000193,po_000019,purchase_order,reference
e_000000193,po_000019_inv_1,invoice,primary
e_000000194,po_000019,purchase_order,reference
e_000000194,po_000019_inv_1,invoice,primary
e_000000195,po_000019,purchase_order,reference
e_000000195,po_000019_inv_1,invoice,primary
e_000000196,po_000020,purchase_order,primary
e_000000196,supplier_045,supplier,reference
e_000000196,cc_014,cost_center,reference
e_000000197,po_000020,purchase_order,primary
e_000000197,cc_014,cost_center,reference
e_000000198,po_000020,purchase_order,primary
e_000000198,supplier_045,supplier,reference
e_000000199,po_000020,purchase_order,reference
e_000000199,po_000020_gr_1,goods_receipt,primary
e_000000199,po_000020_item_1,item,item
e_000000199,po_000020_item_2,item,item
e_000000199,po_000020_item_3,item,item
e_000000199,po_000020_item_4,item,item
e_000000199,po_000020_item_5,item,item
e_000000200,po_000020,purchase_order,reference
e_000000200,po_000020_gr_1,goods_receipt,primary
e_000000201,po_000020,purchase_order,reference
e_000000201,po_000020_inv_1,invoice,primary
e_000000201,supplier_045,supplier,reference
e_000000202,po_000020,purchase_order,reference
e_000000202,po_000020_inv_1,invoice,primary
e_000000203,po_000020,purchase_order,reference
e_000000203,po_000020_inv_1,invoice,primary
e_000000203,supplier_045,supplier,reference
e_000000204,po_000020,purchase_order,reference
e_000000204,po_000020_inv_1,invoice,primary
e_000000205,po_000020,purchase_order,reference
e_000000205,po_000020_inv_1,invoice,primary
e_000000206,po_000020,purchase_order,reference
e_000000206,po_000020_inv_1,invoice,primary
e_000000207,po_000021,purchase_order,primary
e_000000207,supplier_044,supplier,reference
e_000000207,cc_013,cost_center,reference
e_000000208,po_000021,purchase_order,primary
e_000000208,cc_013,cost_center,reference
e_000000209,po_000021,purchase_order,primary
e_000000209,supplier_044,supplier,reference
e_000000210,po_000021,purchase_order,reference
e_000000210,po_000021_gr_1,goods_receipt,primary
e_000000210,po_000021_item_1,item,item
e_000000210,po_000021_item_2,item,item
e_000000210,po_000021_item_3,item,item
e_000000210,po_000021_item_4,item,item
e_000000211,po_000021,purchase_order,reference
e_000000211,po_000021_gr_1,goods_receipt,primary
e_000000212,po_000021,purchase_order,reference
e_000000212,po_000021_inv_1,invoice,primary
e_000000212,supplier_044,supplier,reference
e_000000213,po_000021,purchase_order,reference
e_000000213,po_000021_inv_1,invoice,primary
e_000000214,po_000021,purchase_order,reference
e_000000214,po_000021_inv_1,invoice,primary
e_000000215,po_000021,purchase_order,reference
e_000000215,po_000021_inv_1,invoice,primary
e_000000216,po_000022,purchase_order,primary
e_000000216,supplier_039,supplier,reference
e_000000216,cc_014,cost_center,reference
e_000000217,po_000022,purchase_order,primary
e_000000217,cc_014,cost_center,reference
e_000000218,po_000022,purchase_order,primary
e_000000218,supplier_039,supplier,reference
e_000000219,po_000022,purchase_order,reference
e_000000219,po_000022_gr_1,goods_receipt,primary
e_000000219,po_000022_item_1,item,item
e_000000219,po_000022_item_2,item,item
e_000000219,po_000022_item_3,item,item
e_000000220,po_000022,purchase_order,reference
e_000000220,po_000022_gr_1,goods_receipt,primary
e_000000221,po_000022,purchase_order,reference
e_000000221,po_000022_inv_1,invoice,primary
e_000000221,supplier_039,supplier,reference
e_000000222,po_000022,purchase_order,reference
e_000000222,po_000022_inv_1,invoice,primary
e_000000223,po_000022,purchase_order,reference
e_000000223,po_000022_inv_1,invoice,primary
e_000000224,po_000022,purchase_order,reference
e_000000224,po_000022_inv_1,invoice,primary
e_000000225,po_000023,purchase_order,primary
e_000000225,supplier_006,supplier,reference
e_000000225,cc_003,cost_center,reference
e_000000226,po_000023,purchase_order,primary
e_000000226,cc_003,cost_center,reference
e_000000227,po_000023,purchase_order,primary
e_000000227,supplier_006,supplier,reference
e_000000228,po_000023,purchase_order,reference
e_000000228,po_000023_gr_1,goods_receipt,primary
e_000000228,po_000023_item_1,item,item
e_000000228,po_000023_item_2,item,item
e_000000229,po_000023,purchase_order,reference
e_000000229,po_000023_gr_1,goods_receipt,primary
e_000000230,po_000023,purchase_order,reference
e_000000230,po_000023_gr_2,goods_receipt,primary
e_000000230,po_000023_item_1,item,item
e_000000230,po_000023_item_2,item,item
e_000000230,po_000023_item_3,item,item
e_000000230,po_000023_item_4,item,item
e_000000230,po_000023_item_5,item,item
e_000000231,po_000023,purchase_order,reference
e_000000231,po_000023_gr_2,goods_receipt,primary
e_000000232,po_000023,purchase_order,reference
e_000000232,po_000023_inv_1,invoice,primary
e_000000232,supplier_006,supplier,reference
e_000000233,po_000023,purchase_order,reference
e_000000233,po_000023_inv_1,invoice,primary
e_000000234,po_000023,purchase_order,reference
e_000000234,po_000023_inv_1,invoice,primary
e_000000234,supplier_006,supplier,reference
e_000000235,po_000023,purchase_order,reference
e_000000235,po_000023_inv_1,invoice,primary
e_000000236,po_000023,purchase_order,reference
e_000000236,po_000023_inv_1,invoice,primary
e_000000237,po_000023,purchase_order,reference
e_000000237,po_000023_inv_1,invoice,primary
e_000000238,po_000024,purchase_order,primary
e_000000238,supplier_047,supplier,reference
e_000000238,cc_019,cost_center,reference
e_000000239,po_000024,purchase_order,primary
e_000000239,cc_019,cost_center,reference
e_000000240,po_000024,purchase_order,primary
e_000000240,supplier_047,supplier,reference
e_000000241,po_000024,purchase_order,reference
e_000000241,po_000024_gr_1,goods_receipt,primary
e_000000241,po_000024_item_1,item,item
e_000000242,po_000024,purchase_order,reference
e_000000242,po_000024_gr_1,goods_receipt,primary
e_000000243,po_000024,purchase_order,reference
e_000000243,po_000024_inv_1,invoice,primary
e_000000243,supplier_047,supplier,reference
e_000000244,po_000024,purchase_order,reference
e_000000244,po_000024_inv_1,invoice,primary
e_000000245,po_000024,purchase_order,reference
e_000000245,po_000024_inv_1,invoice,primary
e_000000246,po_000024,purchase_order,reference
e_000000246,po_000024_inv_1,invoice,primary
e_000000247,po_000025,purchase_order,primary
e_000000247,supplier_024,supplier,reference
e_000000247,cc_009,cost_center,reference
e_000000248,po_000025,purchase_order,primary
e_000000248,cc_009,cost_center,reference
e_000000249,po_000025,purchase_order,primary
e_000000249,supplier_024,supplier,reference
e_000000250,po_000025,purchase_order,reference
e_000000250,po_000025_gr_1,goods_receipt,primary
e_000000250,po_000025_item_1,item,item
e_000000250,po_000025_item_2,item,item
e_000000250,po_000025_item_3,item,item
e_000000250,po_000025_item_4,item,item
e_000000250,po_000025_item_5,item,item
e_000000251,po_000025,purchase_order,reference
e_000000251,po_000025_gr_1,goods_receipt,primary
e_000000252,po_000025,purchase_order,reference
e_000000252,po_000025_inv_1,invoice,primary
e_000000252,supplier_024,supplier,reference
e_000000253,po_000025,purchase_order,reference
e_000000253,po_000025_inv_1,invoice,primary
e_000000254,po_000025,purchase_order,reference
e_000000254,po_000025_inv_1,invoice,primary
e_000000255,po_000025,purchase_order,reference
e_000000255,po_000025_inv_1,invoice,primary
e_000000256,po_000026,purchase_order,primary
e_000000256,supplier_021,supplier,reference
e_000000256,cc_016,cost_center,reference
e_000000257,po_000026,purchase_order,primary
e_000000257,cc_016,cost_center,reference
e_000000258,po_000026,purchase_order,primary
e_000000258,supplier_021,supplier,reference
e_000000259,po_000026,purchase_order,reference
e_000000259,po_000026_gr_1,goods_receipt,primary
e_000000259,po_000026_item_1,item,item
e_000000260,po_000026,purchase_order,reference
e_000000260,po_000026_gr_1,goods_receipt,primary
e_000000261,po_000026,purchase_order,reference
e_000000261,po_000026_inv_1,invoice,primary
e_000000261,supplier_021,supplier,reference
